date,result
2018-07-30,333
2018-07-31,6720
2018-08-01,6217
2018-08-02,6706
2018-08-03,9157
2018-08-04,4555
2018-08-05,4816
2018-08-06,4411
2018-08-07,9538
2018-08-08,8150
2018-08-09,1122
2018-08-10,4308
2018-08-11,1245
2018-08-12,4107
2018-08-13,4381
2018-08-14,8312
2018-08-15,9947
2018-08-16,7864
2018-08-17,1519
2018-08-18,7716
2018-08-19,9089
2018-08-20,1244
2018-08-21,8777
2018-08-22,7057
2018-08-23,8580
2018-08-24,5329
2018-08-25,3681
2018-08-26,5370
2018-08-27,663
2018-08-28,5721
2018-08-29,7049
2018-08-30,4094
2018-08-31,8070
2018-09-01,6254
2018-09-02,3594
2018-09-03,2618
2018-09-04,9418
2018-09-05,710
2018-09-06,1559
2018-09-07,4399
2018-09-08,6118
2018-09-09,5043
2018-09-10,2900
2018-09-11,1528
2018-09-12,6411
2018-09-13,2341
2018-09-14,795
2018-09-15,2886
2018-09-16,5039
2018-09-17,2732
2018-09-18,8687
2018-09-19,1333
2018-09-20,1018
2018-09-21,5765
2018-09-22,2509
2018-09-23,2160
2018-09-24,780
2018-09-25,4970
2018-09-26,9878
2018-09-27,2774
2018-09-28,6910
2018-09-29,809
2018-09-30,3164
2018-10-01,4776
2018-10-02,365
2018-10-03,9375
2018-10-04,4536
2018-10-05,3830
2018-10-06,4561
2018-10-07,4561
2018-10-08,7192
2018-10-09,6060
2018-10-10,3658
2018-10-11,7481
2018-10-12,7052
2018-10-13,3073
2018-10-14,7212
2018-10-15,6311
2018-10-16,456
2018-10-17,6710
2018-10-18,2049
2018-10-19,2142
2018-10-20,4066
2018-10-21,3769
2018-10-22,5005
2018-10-23,957
2018-10-24,7397
2018-10-25,6116
2018-10-26,2484
2018-10-27,3912
2018-10-28,1071
2018-10-29,2061
2018-10-30,8275
2018-10-31,1255
2018-11-01,2215
2018-11-02,9559
2018-11-03,20
2018-11-04,402
2018-11-05,5597
2018-11-06,9284
2018-11-07,7040
2018-11-08,9487
2018-11-09,9788
2018-11-10,3743
2018-11-11,7648
2018-11-12,2492
2018-11-13,9060
2018-11-14,6099
2018-11-15,4647
2018-11-16,4480
2018-11-17,4364
2018-11-18,718
2018-11-19,6555
2018-11-20,7952
2018-11-21,6269
2018-11-22,5337
2018-11-23,3509
2018-11-24,9053
2018-11-25,216
2018-11-26,5658
2018-11-27,1868
2018-11-28,3324
2018-11-29,3406
2018-11-30,2611
2018-12-01,6917
2018-12-02,9848
2018-12-03,7066
2018-12-04,2305
2018-12-05,2026
2018-12-06,7800
2018-12-07,7083
2018-12-08,5750
2018-12-09,9479
2018-12-10,8122
2018-12-11,4519
2018-12-12,1749
2018-12-13,1951
2018-12-14,7015
2018-12-15,3816
2018-12-16,4513
2018-12-17,3221
2018-12-18,7582
2018-12-19,3498
2018-12-20,8214
2018-12-21,6725
2018-12-22,4060
2018-12-23,3773
2018-12-24,8911
2018-12-25,5251
2018-12-26,5194
2018-12-27,3599
2018-12-28,2554
2018-12-29,5801
2018-12-30,9069
2018-12-31,9035
2019-01-01,3751
2019-01-02,8857
2019-01-03,1150
2019-01-04,7244
2019-01-05,3522
2019-01-06,2531
2019-01-07,1174
2019-01-08,1701
2019-01-09,7279
2019-01-10,2353
2019-01-11,177
2019-01-12,5077
2019-01-13,1180
2019-01-14,3635
2019-01-15,5709
2019-01-16,810
2019-01-17,8850
2019-01-18,2656
2019-01-19,4970
2019-01-20,2160
2019-01-21,7711
2019-01-22,6069
2019-01-23,7778
2019-01-24,2511
2019-01-25,8260
2019-01-26,9105
2019-01-27,4525
2019-01-28,6919
2019-01-29,8214
2019-01-30,385
2019-01-31,9996
2019-02-01,3693
2019-02-02,3642
2019-02-03,9698
2019-02-04,2783
2019-02-05,3420
2019-02-06,3534
2019-02-07,3747
2019-02-08,7669
2019-02-09,4656
2019-02-10,6385
2019-02-11,8059
2019-02-12,3223
2019-02-13,2452
2019-02-14,3431
2019-02-15,8114
2019-02-16,8635
2019-02-17,6081
2019-02-18,2170
2019-02-19,2042
2019-02-20,322
2019-02-21,8346
2019-02-22,92
2019-02-23,5269
2019-02-24,7009
2019-02-25,1668
2019-02-26,4099
2019-02-27,7735
2019-02-28,6344
2019-03-01,3283
2019-03-02,7361
2019-03-03,9970
2019-03-04,3840
2019-03-05,9074
2019-03-06,3071
2019-03-07,4506
2019-03-08,2624
2019-03-09,9241
2019-03-10,565
2019-03-11,5387
2019-03-12,353
2019-03-13,4545
2019-03-14,9931
2019-03-15,420
2019-03-16,4172
2019-03-17,7153
2019-03-18,720
2019-03-19,6434
2019-03-20,5429
2019-03-21,8153
2019-03-22,8584
2019-03-23,4976
2019-03-24,9957
2019-03-25,5951
2019-03-26,3474
2019-03-27,1422
2019-03-28,6131
2019-03-29,7151
2019-03-30,4634
2019-03-31,7682
2019-04-01,4581
2019-04-02,7504
2019-04-03,5493
2019-04-04,5532
2019-04-05,9513
2019-04-06,5535
2019-04-07,6894
2019-04-08,4573
2019-04-09,7674
2019-04-10,4408
2019-04-11,643
2019-04-12,1900
2019-04-13,2352
2019-04-14,5159
2019-04-15,7879
2019-04-16,4180
2019-04-17,1453
2019-04-18,3197
2019-04-19,5327
2019-04-20,4230
2019-04-21,1147
2019-04-22,2908
2019-04-23,1325
2019-04-24,7311
2019-04-25,9454
2019-04-26,9571
2019-04-27,3015
2019-04-28,5984
2019-04-29,2517
2019-04-30,7496
2019-05-01,6632
2019-05-02,9118
2019-05-03,2238
2019-05-04,4434
2019-05-05,4247
2019-05-06,1777
2019-05-07,240
2019-05-08,3912
2019-05-09,9810
2019-05-10,8767
2019-05-11,7768
2019-05-12,6324
2019-05-13,8207
2019-05-14,8583
2019-05-15,4638
2019-05-16,9401
2019-05-17,1859
2019-05-18,9999
2019-05-19,7716
2019-05-20,8598
2019-05-21,1372
2019-05-22,784
2019-05-23,3950
2019-05-24,3451
2019-05-25,7141
2019-05-26,1424
2019-05-27,2605
2019-05-28,3676
2019-05-29,9698
2019-05-30,536
2019-05-31,567
2019-06-01,6789
2019-06-02,2098
2019-06-03,6593
2019-06-04,6972
2019-06-05,2438
2019-06-06,6701
2019-06-07,3995
2019-06-08,4510
2019-06-09,4214
2019-06-10,6076
2019-06-11,508
2019-06-12,6077
2019-06-13,5235
2019-06-14,6504
2019-06-15,8095
2019-06-16,9379
2019-06-17,819
2019-06-18,2769
2019-06-19,4632
2019-06-20,6658
2019-06-21,8309
2019-06-22,7560
2019-06-23,3530
2019-06-24,9577
2019-06-25,831
2019-06-26,8308
2019-06-27,5646
2019-06-28,7372
2019-06-29,4892
2019-06-30,8075
2019-07-01,3132
2019-07-02,60
2019-07-03,9592
2019-07-04,5383
2019-07-05,1888
2019-07-06,8061
2019-07-07,3585
2019-07-08,7082
2019-07-09,8218
2019-07-10,4217
2019-07-11,8305
2019-07-12,9982
2019-07-13,6102
2019-07-14,8937
2019-07-15,3767
2019-07-16,8404
2019-07-17,1569
2019-07-18,8716
2019-07-19,4929
2019-07-20,2141
2019-07-21,4084
2019-07-22,2261
2019-07-23,9071
2019-07-24,5839
2019-07-25,4844
2019-07-26,5225
2019-07-27,3759
2019-07-28,6987
2019-07-29,6571
2019-07-30,3511
2019-07-31,8483
2019-08-01,4300
2019-08-02,1859
2019-08-03,9268
2019-08-04,5983
2019-08-05,9884
2019-08-06,4526
2019-08-07,9688
2019-08-08,5882
2019-08-09,1495
2019-08-10,6992
2019-08-11,3108
2019-08-12,2772
2019-08-13,5164
2019-08-14,5904
2019-08-15,7124
2019-08-16,6994
2019-08-17,2508
2019-08-18,7902
2019-08-19,3058
2019-08-20,906
2019-08-21,1480
2019-08-22,1713
2019-08-23,4928
2019-08-24,9007
2019-08-25,6404
2019-08-26,806
2019-08-27,3100
2019-08-28,8030
2019-08-29,9503
2019-08-30,6652
2019-08-31,6723
2019-09-01,8664
2019-09-02,6748
2019-09-03,3809
2019-09-04,1941
2019-09-05,5203
2019-09-06,3119
2019-09-07,7617
2019-09-08,3850
2019-09-09,3594
2019-09-10,379
2019-09-11,585
2019-09-12,4995
2019-09-13,3088
2019-09-14,3400
2019-09-15,8948
2019-09-16,5043
2019-09-17,6246
2019-09-18,3579
2019-09-19,7670
2019-09-20,2854
2019-09-21,4767
2019-09-22,7155
2019-09-23,9360
2019-09-24,7850
2019-09-25,2245
2019-09-26,7873
2019-09-27,2587
2019-09-28,2145
2019-09-29,8151
2019-09-30,9679
2019-10-01,4117
2019-10-02,7014
2019-10-03,433
2019-10-04,9090
2019-10-05,3493
2019-10-06,1121
2019-10-07,3189
2019-10-08,3043
2019-10-09,6963
2019-10-10,5542
2019-10-11,5599
2019-10-12,8446
2019-10-13,9749
2019-10-14,4398
2019-10-15,9589
2019-10-16,8612
2019-10-17,6852
2019-10-18,2383
2019-10-19,1820
2019-10-20,6869
2019-10-21,303
2019-10-22,4577
2019-10-23,268
2019-10-24,4697
2019-10-25,2665
2019-10-26,7919
2019-10-27,2617
2019-10-28,1565
2019-10-29,5250
2019-10-30,8239
2019-10-31,6718
2019-11-01,3212
2019-11-02,7926
2019-11-03,5179
2019-11-04,4487
2019-11-05,4294
2019-11-06,9281
2019-11-07,4712
2019-11-08,9519
2019-11-09,8286
2019-11-10,3698
2019-11-11,5678
2019-11-12,5517
2019-11-13,7666
2019-11-14,5772
2019-11-15,8050
2019-11-16,3468
2019-11-17,5447
2019-11-18,3192
2019-11-19,417
2019-11-20,3005
2019-11-21,9984
2019-11-22,5275
2019-11-23,2096
2019-11-24,7892
2019-11-25,3668
2019-11-26,7147
2019-11-27,586
2019-11-28,5059
2019-11-29,3475
2019-11-30,6851
2019-12-01,103
2019-12-02,9141
2019-12-03,2513
2019-12-04,134
2019-12-05,2283
2019-12-06,3204
2019-12-07,9059
2019-12-08,2878
2019-12-09,8405
2019-12-10,9650
2019-12-11,7790
2019-12-12,1421
2019-12-13,1157
2019-12-14,8781
2019-12-15,7879
2019-12-16,1090
2019-12-17,7522
2019-12-18,5334
2019-12-19,7372
2019-12-20,7394
2019-12-21,9471
2019-12-22,3875
2019-12-23,12
2019-12-24,2488
2019-12-25,8286
2019-12-26,939
2019-12-27,6762
2019-12-28,4311
2019-12-29,6059
2019-12-30,8298
2019-12-31,5501
2020-01-01,3449
2020-01-02,1045
2020-01-03,3046
2020-01-04,3761
2020-01-05,4147
2020-01-06,8896
2020-01-07,7535
2020-01-08,1455
2020-01-09,4145
2020-01-10,7474
2020-01-11,7224
2020-01-12,383
2020-01-13,5848
2020-01-14,806
2020-01-15,277
2020-01-16,4687
2020-01-17,5618
2020-01-18,566
2020-01-19,8427
2020-01-20,2192
2020-01-21,1498
2020-01-22,9121
2020-01-23,7699
2020-01-24,9651
2020-01-25,3894
2020-01-26,6765
2020-01-27,8242
2020-01-28,9819
