date,result
2006-01-10,3456
2006-01-11,3435
2006-01-12,9845
2006-01-13,2450
2006-01-14,6345
2006-01-15,9648
2006-01-16,4089
2006-01-17,5812
2006-01-18,2630
2006-01-19,2526
2006-01-20,2308
2006-01-21,9636
2006-01-22,7009
2006-01-23,3317
2006-01-24,1209
2006-01-25,6758
2006-01-26,6345
2006-01-27,9345
2006-01-28,5344
2006-01-29,7456
2006-01-30,8151
2006-01-31,5312
2006-02-01,7488
2006-02-02,5260
2006-02-03,5832
2006-02-04,9045
2006-02-05,5668
2006-02-06,3456
2006-02-07,6745
2006-02-08,4563
2006-02-09,4345
2006-02-10,4634
2006-02-11,5538
2006-02-12,0566
2006-02-13,5430
2006-02-14,4101
2006-02-15,5343
2006-02-16,7899
2006-02-17,8940
2006-02-18,3453
2006-02-19,1236
2006-02-20,9363
2006-02-21,1547
2006-02-22,7452
2006-02-23,7802
2006-02-24,1531
2006-02-25,2318
2006-02-26,4832
2006-02-27,5238
2006-02-28,0410
2006-03-01,1234
2006-03-02,7968
2006-03-03,3452
2006-03-04,4635
2006-03-05,3246
2006-03-06,6934
2006-03-07,0134
2006-03-08,8456
2006-03-09,8427
2006-03-10,8167
2006-03-11,7452
2006-03-12,1787
2006-03-13,8283
2006-03-14,7991
2006-03-15,7625
2006-03-16,6587
2006-03-17,2323
2006-03-18,6922
2006-03-19,4848
2006-03-20,5079
2006-03-21,9760
2006-03-22,4312
2006-03-23,4580
2006-03-24,2164
2006-03-25,4912
2006-03-26,9238
2006-03-27,3108
2006-03-28,5713
2006-03-29,8463
2006-03-30,6904
2006-03-31,0294
2006-04-01,3215
2006-04-02,6598
2006-04-03,7058
2006-04-04,8412
2006-04-05,0326
2006-04-06,1135
2006-04-07,9120
2006-04-08,2301
2006-04-09,7871
2006-04-10,3059
2006-04-11,1728
2006-04-12,0531
2006-04-13,6429
2006-04-14,1387
2006-04-15,4223
2006-04-16,8431
2006-04-17,7399
2006-04-18,5076
2006-04-19,1482
2006-04-20,9510
2006-04-21,7361
2006-04-22,9160
2006-04-23,2795
2006-04-24,2039
2006-04-25,4846
2006-04-26,4510
2006-04-27,1182
2006-04-28,3759
2006-04-29,7173
2006-04-30,0942
2006-05-01,8506
2006-05-02,6214
2006-05-03,6138
2006-05-04,0979
2006-05-05,8395
2006-05-06,0642
2006-05-07,5723
2006-05-08,9906
2006-05-09,0724
2006-05-10,2648
2006-05-11,4871
2006-05-12,5165
2006-05-13,6244
2006-05-14,2790
2006-05-15,1504
2006-05-16,7416
2006-05-17,4928
2006-05-18,2505
2006-05-19,5673
2006-05-20,3310
2006-05-21,8102
2006-05-22,6837
2006-05-23,8801
2006-05-24,5946
2006-05-25,9313
2006-05-26,3732
2006-05-27,9675
2006-05-28,0517
2006-05-29,1468
2006-05-30,3052
2006-05-31,8953
2006-06-01,2401
2006-06-02,1001
2006-06-03,5497
2006-06-04,6325
2006-06-05,7980
2006-06-06,4912
2006-06-07,8124
2006-06-08,6774
2006-06-09,1890
2006-06-10,7663
2006-06-11,8680
2006-06-12,4486
2006-06-13,5743
2006-06-14,0069
2006-06-15,9817
2006-06-16,6804
2006-06-17,4183
2006-06-18,5795
2006-06-19,2661
2006-06-20,6843
2006-06-21,1246
2006-06-22,0679
2006-06-23,4157
2006-06-24,3136
2006-06-25,0912
2006-06-26,6225
2006-06-27,8494
2006-06-28,2683
2006-06-29,3522
2006-06-30,1914
2006-07-01,7651
2006-07-02,3907
2006-07-03,8317
2006-07-04,4489
2006-07-05,6218
2006-07-06,5096
2006-07-07,9425
2006-07-08,2411
2006-07-09,0976
2006-07-10,4802
2006-07-11,6056
2006-07-12,1872
2006-07-13,5813
2006-07-14,0226
2006-07-15,7129
2006-07-16,2937
2006-07-17,9209
2006-07-18,6099
2006-07-19,7095
2006-07-20,2764
2006-07-21,3451
2006-07-22,5398
2006-07-23,4369
2006-07-24,7840
2006-07-25,0529
2006-07-26,1488
2006-07-27,9723
2006-07-28,1776
2006-07-29,5820
2006-07-30,3194
2006-07-31,8031
2006-08-01,3085
2006-08-02,2176
2006-08-03,9452
2006-08-04,7040
2006-08-05,1766
2006-08-06,6334
2006-08-07,9107
2006-08-08,2974
2006-08-09,5642
2006-08-10,0031
2006-08-11,8629
2006-08-12,5291
2006-08-13,1328
2006-08-14,5891
2006-08-15,2460
2006-08-16,6947
2006-08-17,7921
2006-08-18,6836
2006-08-19,9541
2006-08-20,1569
2006-08-21,2814
2006-08-22,5468
2006-08-23,7302
2006-08-24,8715
2006-08-25,9723
2006-08-26,2239
2006-08-27,6248
2006-08-28,1772
2006-08-29,3588
2006-08-30,8363
2006-08-31,4021
2006-09-01,2873
2006-09-02,1523
2006-09-03,5082
2006-09-04,8691
2006-09-05,3459
2006-09-06,4317
2006-09-07,0675
2006-09-08,8170
2006-09-09,5639
2006-09-10,9580
2006-09-11,1929
2006-09-12,1254
2006-09-13,6917
2006-09-14,4358
2006-09-15,2824
2006-09-16,5568
2006-09-17,9722
2006-09-18,2619
2006-09-19,3105
2006-09-20,0215
2006-09-21,3865
2006-09-22,1473
2006-09-23,4924
2006-09-24,1932
2006-09-25,7256
2006-09-26,3952
2006-09-27,3498
2006-09-28,5213
2006-09-29,6072
2006-09-30,5232
2006-10-01,0702
2006-10-02,3247
2006-10-03,2518
2006-10-04,9284
2006-10-05,2383
2006-10-06,2378
2006-10-07,3714
2006-10-08,7217
2006-10-09,7059
2006-10-10,2844
2006-10-11,1793
2006-10-12,8435
2006-10-13,0177
2006-10-14,6471
2006-10-15,3695
2006-10-16,5867
2006-10-17,2089
2006-10-18,9481
2006-10-19,0609
2006-10-20,7643
2006-10-21,1502
2006-10-22,7399
2006-10-23,3865
2006-10-24,8436
2006-10-25,0713
2006-10-26,9368
2006-10-27,7650
2006-10-28,5982
2006-10-29,8723
2006-10-30,3411
2006-10-31,9673
2006-11-01,7891
2006-11-02,9752
2006-11-03,5476
2006-11-04,6280
2006-11-05,3049
2006-11-06,8467
2006-11-07,4936
2006-11-08,2044
2006-11-09,1185
2006-11-10,0628
2006-11-11,1535
2006-11-12,7206
2006-11-13,6942
2006-11-14,5172
2006-11-15,7918
2006-11-16,4560
2006-11-17,3726
2006-11-18,8924
2006-11-19,6593
2006-11-20,9125
2006-11-21,4798
2006-11-22,2378
2006-11-23,6527
2006-11-24,4835
2006-11-25,0730
2006-11-26,2052
2006-11-27,3466
2006-11-28,1738
2006-11-29,5624
2006-11-30,4301
2006-12-01,3256
2006-12-02,2689
2006-12-03,6478
2006-12-04,5723
2006-12-05,8562
2006-12-06,2471
2006-12-07,0265
2006-12-08,1292
2006-12-09,3356
2006-12-10,7312
2006-12-11,2740
2006-12-12,8076
2006-12-13,4520
2006-12-14,6698
2006-12-15,4911
2006-12-16,8392
2006-12-17,3846
2006-12-18,2479
2006-12-19,4816
2006-12-20,7495
2006-12-21,0782
2006-12-22,1379
2006-12-23,6084
2006-12-24,1153
2006-12-25,9712
2006-12-26,4583
2006-12-27,4192
2006-12-28,4368
2006-12-29,8412
2006-12-30,9503
2006-12-31,3245
2007-01-01,4780
2007-01-02,4206
2007-01-03,4258
2007-01-04,0165
2007-01-05,8377
2007-01-06,0162
2007-01-07,6754
2007-01-08,8972
2007-01-09,5291
2007-01-10,4382
2007-01-11,9623
2007-01-12,1470
2007-01-13,6839
2007-01-14,7458
2007-01-15,8272
2007-01-16,3839
2007-01-17,2701
2007-01-18,5491
2007-01-19,1105
2007-01-20,5078
2007-01-21,7386
2007-01-22,6798
2007-01-23,5931
2007-01-24,4187
2007-01-25,2399
2007-01-26,1475
2007-01-27,9024
2007-01-28,6503
2007-01-29,3728
2007-01-30,8512
2007-01-31,0998
2007-02-01,3476
2007-02-02,0614
2007-02-03,8172
2007-02-04,4720
2007-02-05,5983
2007-02-06,7204
2007-02-07,8063
2007-02-08,3572
2007-02-09,2453
2007-02-10,0136
2007-02-11,5890
2007-02-12,2687
2007-02-13,7415
2007-02-14,0659
2007-02-15,9467
2007-02-16,8531
2007-02-17,6490
2007-02-18,1328
2007-02-19,0486
2007-02-20,0739
2007-02-21,3248
2007-02-22,1904
2007-02-23,4911
2007-02-24,8672
2007-02-25,0153
2007-02-26,9526
2007-02-27,0833
2007-02-28,2478
2007-03-01,6579
2007-03-02,3095
2007-03-03,2058
2007-03-04,7904
2007-03-05,5392
2007-03-06,4758
2007-03-07,3860
2007-03-08,0486
2007-03-09,1934
2007-03-10,8062
2007-03-11,7513
2007-03-12,2316
2007-03-13,4839
2007-03-14,1970
2007-03-15,3668
2007-03-16,9621
2007-03-17,7430
2007-03-18,0799
2007-03-19,1326
2007-03-20,3917
2007-03-21,1502
2007-03-22,6934
2007-03-23,5423
2007-03-24,8694
2007-03-25,7038
2007-03-26,4519
2007-03-27,0875
2007-03-28,4309
2007-03-29,3951
2007-03-30,1176
2007-03-31,9104
2007-04-01,7523
2007-04-02,1792
2007-04-03,6801
2007-04-04,2479
2007-04-05,7022
2007-04-06,9768
2007-04-07,5180
2007-04-08,6495
2007-04-09,8299
2007-04-10,8426
2007-04-11,5281
2007-04-12,7504
2007-04-13,2462
2007-04-14,5348
2007-04-15,0829
2007-04-16,9603
2007-04-17,2519
2007-04-18,1746
2007-04-19,2980
2007-04-20,8534
2007-04-21,9117
2007-04-22,3275
2007-04-23,6091
2007-04-24,4817
2007-04-25,0968
2007-04-26,1470
2007-04-27,0893
2007-04-28,1054
2007-04-29,9361
2007-04-30,4176
2007-05-01,7845
2007-05-02,6753
2007-05-03,5438
2007-05-04,6619
2007-05-05,1240
2007-05-06,6084
2007-05-07,5412
2007-05-08,0135
2007-05-09,3206
2007-05-10,8675
2007-05-11,0528
2007-05-12,4739
2007-05-13,4951
2007-05-14,2180
2007-05-15,5568
2007-05-16,8376
2007-05-17,9354
2007-05-18,0149
2007-05-19,8064
2007-05-20,1283
2007-05-21,3475
2007-05-22,4205
2007-05-23,7382
2007-05-24,6793
2007-05-25,5826
2007-05-26,9551
2007-05-27,0327
2007-05-28,1962
2007-05-29,5074
2007-05-30,7133
2007-05-31,8496
2007-06-01,6524
2007-06-02,9475
2007-06-03,7982
2007-06-04,2187
2007-06-05,5601
2007-06-06,2069
2007-06-07,3245
2007-06-08,4108
2007-06-09,7206
2007-06-10,1524
2007-06-11,8760
2007-06-12,1685
2007-06-13,2754
2007-06-14,0538
2007-06-15,4569
2007-06-16,6824
2007-06-17,7930
2007-06-18,5249
2007-06-19,3754
2007-06-20,8699
2007-06-21,4627
2007-06-22,2948
2007-06-23,1529
2007-06-24,8635
2007-06-25,0478
2007-06-26,9618
2007-06-27,4286
2007-06-28,5729
2007-06-29,6095
2007-06-30,9408
2007-07-01,5986
2007-07-02,7301
2007-07-03,2619
2007-07-04,7140
2007-07-05,3821
2007-07-06,9832
2007-07-07,0976
2007-07-08,2405
2007-07-09,6347
2007-07-10,5792
2007-07-11,4036
2007-07-12,3475
2007-07-13,8209
2007-07-14,2621
2007-07-15,8415
2007-07-16,0724
2007-07-17,5681
2007-07-18,1142
2007-07-19,2957
2007-07-20,7861
2007-07-21,1974
2007-07-22,6329
2007-07-23,3845
2007-07-24,4026
2007-07-25,9723
2007-07-26,6954
2007-07-27,8961
2007-07-28,9452
2007-07-29,8619
2007-07-30,0782
2007-07-31,3269
2007-08-01,0406
2007-08-02,5083
2007-08-03,2670
2007-08-04,4310
2007-08-05,0441
2007-08-06,3711
2007-08-07,7930
2007-08-08,2687
2007-08-09,5495
2007-08-10,6053
2007-08-11,8537
2007-08-12,9305
2007-08-13,4578
2007-08-14,7232
2007-08-15,5755
2007-08-16,3591
2007-08-17,0495
2007-08-18,2670
2007-08-19,5018
2007-08-20,9486
2007-08-21,2754
2007-08-22,8915
2007-08-23,4801
2007-08-24,7314
2007-08-25,5968
2007-08-26,1746
2007-08-27,8320
2007-08-28,7562
2007-08-29,0836
2007-08-30,6553
2007-08-31,4380
2007-09-01,6925
2007-09-02,3825
2007-09-03,4298
2007-09-04,2086
2007-09-05,9507
2007-09-06,1896
2007-09-07,3728
2007-09-08,7209
2007-09-09,5817
2007-09-10,0392
2007-09-11,6450
2007-09-12,7932
2007-09-13,8210
2007-09-14,7053
2007-09-15,9386
2007-09-16,3162
2007-09-17,6978
2007-09-18,1320
2007-09-19,6087
2007-09-20,9518
2007-09-21,8902
2007-09-22,7417
2007-09-23,0434
2007-09-24,0138
2007-09-25,3947
2007-09-26,2514
2007-09-27,4053
2007-09-28,1306
2007-09-29,0211
2007-09-30,2986
2007-10-01,1872
2007-10-02,0429
2007-10-03,7236
2007-10-04,3417
2007-10-05,5190
2007-10-06,9624
2007-10-07,8273
2007-10-08,6316
2007-10-09,5742
2007-10-10,1408
2007-10-11,6123
2007-10-12,2685
2007-10-13,5900
2007-10-14,0735
2007-10-15,9012
2007-10-16,2849
2007-10-17,3579
2007-10-18,0614
2007-10-19,4953
2007-10-20,3892
2007-10-21,8513
2007-10-22,2191
2007-10-23,5389
2007-10-24,0274
2007-10-25,6819
2007-10-26,3056
2007-10-27,2480
2007-10-28,1974
2007-10-29,3705
2007-10-30,8410
2007-10-31,6354
2007-11-01,7548
2007-11-02,4291
2007-11-03,6907
2007-11-04,3426
2007-11-05,9364
2007-11-06,1672
2007-11-07,7118
2007-11-08,7324
2007-11-09,6047
2007-11-10,2293
2007-11-11,4973
2007-11-12,2411
2007-11-13,6284
2007-11-14,3792
2007-11-15,9188
2007-11-16,7806
2007-11-17,5921
2007-11-18,9314
2007-11-19,7403
2007-11-20,6145
2007-11-21,1563
2007-11-22,0497
2007-11-23,8412
2007-11-24,1745
2007-11-25,6258
2007-11-26,3670
2007-11-27,0862
2007-11-28,8375
2007-11-29,2782
2007-11-30,7169
2007-12-01,4953
2007-12-02,1361
2007-12-03,5194
2007-12-04,7954
2007-12-05,9379
2007-12-06,1608
2007-12-07,3819
2007-12-08,9637
2007-12-09,4082
2007-12-10,2988
2007-12-11,7163
2007-12-12,8954
2007-12-13,6430
2007-12-14,2675
2007-12-15,0812
2007-12-16,3647
2007-12-17,9062
2007-12-18,6825
2007-12-19,7545
2007-12-20,2136
2007-12-21,3094
2007-12-22,1628
2007-12-23,0239
2007-12-24,4776
2007-12-25,8012
2007-12-26,1490
2007-12-27,3840
2007-12-28,5286
2007-12-29,4362
2007-12-30,0521
2007-12-31,7989
2008-01-01,2436
2008-01-02,8367
2008-01-03,9618
2008-01-04,6743
2008-01-05,1826
2008-01-06,3580
2008-01-07,0957
2008-01-08,5769
2008-01-09,6803
2008-01-10,4516
2008-01-11,5348
2008-01-12,2479
2008-01-13,3106
2008-01-14,6398
2008-01-15,1045
2008-01-16,8570
2008-01-17,1639
