date, result
2018-07-30,2536
2018-07-31,0878
2018-08-01,9895
2018-08-02,7819
2018-08-03,8779
2018-08-04,1808
2018-08-05,1649
2018-08-06,8042
2018-08-07,3274
2018-08-08,2873
2018-08-09,3599
2018-08-10,5312
2018-08-11,2337
2018-08-12,0053
2018-08-13,3710
2018-08-14,4369
2018-08-15,5322
2018-08-16,5981
2018-08-17,7585
2018-08-18,8978
2018-08-19,1823
2018-08-20,2208
2018-08-21,9463
2018-08-22,4686
2018-08-23,8069
2018-08-24,0530
2018-08-25,5792
2018-08-26,9111
2018-08-27,2424
2018-08-28,3016
2018-08-29,4326
2018-08-30,8603
2018-08-31,7607
2018-09-01,7058
2018-09-02,8290
2018-09-03,7017
2018-09-04,0620
2018-09-05,3132
2018-09-06,0168
2018-09-07,6560
2018-09-08,7067
2018-09-09,4817
2018-09-10,1756
2018-09-11,7294
2018-09-12,7374
2018-09-13,9654
2018-09-14,2253
2018-09-15,4939
2018-09-16,7380
2018-09-17,1983
2018-09-18,0005
2018-09-19,3269
2018-09-20,4966
2018-09-21,9838
2018-09-22,6555
2018-09-23,5042
2018-09-24,2855
2018-09-25,1656
2018-09-26,4932
2018-09-27,6449
2018-09-28,7110
2018-09-29,8301
2018-09-30,2690
2018-10-01,6121
2018-10-02,5716
2018-10-03,1305
2018-10-04,8823
2018-10-05,8916
2018-10-06,9842
2018-10-07,2021
2018-10-08,1090
2018-10-09,4076
2018-10-10,6760
2018-10-11,7439
2018-10-12,7675
2018-10-13,7862
2018-10-14,5277
2018-10-15,8124
2018-10-16,6255
2018-10-17,8913
2018-10-18,0205
2018-10-19,4783
2018-10-20,1593
2018-10-21,6419
2018-10-22,5092
2018-10-23,3469
2018-10-24,7530
2018-10-25,4383
2018-10-26,6492
2018-10-27,9196
2018-10-28,1887
2018-10-29,7429
2018-10-30,1400
2018-10-31,1163
2018-11-01,1204
2018-11-02,8404
2018-11-03,2046
2018-11-04,5046
2018-11-05,2419
2018-11-06,5637
2018-11-07,6752
2018-11-08,1706
2018-11-09,6185
2018-11-10,6091
2018-11-11,9343
2018-11-12,6575
2018-11-13,3392
2018-11-14,0550
2018-11-15,5407
2018-11-16,9142
2018-11-17,0513
2018-11-18,2321
2018-11-19,6884
2018-11-20,0311
2018-11-21,2902
2018-11-22,4776
2018-11-23,0742
2018-11-24,4560
2018-11-25,9546
2018-11-26,0738
2018-11-27,9096
2018-11-28,4354
2018-11-29,6211
2018-11-30,9812
2018-12-01,5434
2018-12-02,4725
2018-12-03,1938
2018-12-04,8971
2018-12-05,8684
2018-12-06,8967
2018-12-07,7448
2018-12-08,6061
2018-12-09,7666
2018-12-10,4539
2018-12-11,4643
2018-12-12,2787
2018-12-13,2944
2018-12-14,3537
2018-12-15,3767
2018-12-16,1989
2018-12-17,2939
2018-12-18,8425
2018-12-19,5273
2018-12-20,7753
2018-12-21,5258
2018-12-22,7027
2018-12-23,2346
2018-12-24,9183
2018-12-25,0721
2018-12-26,3152
2018-12-27,5105
2018-12-28,7249
2018-12-29,1500
2018-12-30,2158
2018-12-31,0080
2019-01-01,4283
2019-01-02,3152
2019-01-03,3900
2019-01-04,2652
2019-01-05,3388
2019-01-06,1700
2019-01-07,5179
2019-01-08,4915
2019-01-09,2513
2019-01-10,8417
2019-01-11,7485
2019-01-12,0748
2019-01-13,7555
2019-01-14,3563
2019-01-15,9466
2019-01-16,2197
2019-01-17,6568
2019-01-18,9919
2019-01-19,2841
2019-01-20,0090
2019-01-21,2107
2019-01-22,1645
2019-01-23,9255
2019-01-24,8829
2019-01-25,8641
2019-01-26,2029
2019-01-27,0540
2019-01-28,9387
2019-01-29,2257
2019-01-30,3320
2019-01-31,9300
2019-02-01,2814
2019-02-02,4203
2019-02-03,9551
2019-02-04,4081
2019-02-05,8742
2019-02-06,4328
2019-02-07,0439
2019-02-08,0461
2019-02-09,9265
2019-02-10,8854
2019-02-11,4659
2019-02-12,8512
2019-02-13,9626
2019-02-14,0357
2019-02-15,1246
2019-02-16,8163
2019-02-17,3453
2019-02-18,4247
2019-02-19,8451
2019-02-20,4615
2019-02-21,7426
2019-02-22,5115
2019-02-23,7667
2019-02-24,5290
2019-02-25,2636
2019-02-26,0734
2019-02-27,7117
2019-02-28,1848
2019-03-01,7663
2019-03-02,6460
2019-03-03,7827
2019-03-04,1988
2019-03-05,0005
2019-03-06,1402
2019-03-07,1188
2019-03-08,8051
2019-03-09,0680
2019-03-10,6741
2019-03-11,2143
2019-03-12,7120
2019-03-13,8921
2019-03-14,0608
2019-03-15,9240
2019-03-16,0466
2019-03-17,3386
2019-03-18,6401
2019-03-19,7540
2019-03-20,7446
2019-03-21,3157
2019-03-22,2829
2019-03-23,8243
2019-03-24,5140
2019-03-25,3437
2019-03-26,7039
2019-03-27,1719
2019-03-28,8908
2019-03-29,2778
2019-03-30,9247
2019-03-31,5987
2019-04-01,8020
2019-04-02,3900
2019-04-03,4467
2019-04-04,5632
2019-04-05,3036
2019-04-06,3412
2019-04-07,0206
2019-04-08,9230
2019-04-09,8248
2019-04-10,0371
2019-04-11,8221
2019-04-12,0983
2019-04-13,1409
2019-04-14,3812
2019-04-15,8697
2019-04-16,5913
2019-04-17,9135
2019-04-18,5199
2019-04-19,1229
2019-04-20,4497
2019-04-21,3020
2019-04-22,7246
2019-04-23,5836
2019-04-24,8007
2019-04-25,9876
2019-04-26,0548
2019-04-27,8672
2019-04-28,7390
2019-04-29,4465
2019-04-30,2316
2019-05-01,1738
2019-05-02,5387
2019-05-03,0823
2019-05-04,7555
2019-05-05,2533
2019-05-06,8631
2019-05-07,5096
2019-05-08,1750
2019-05-09,0731
2019-05-10,2994
2019-05-11,9417
2019-05-12,9691
2019-05-13,6653
2019-05-14,5859
2019-05-15,6978
2019-05-16,5070
2019-05-17,4084
2019-05-18,0436
2019-05-19,4664
2019-05-20,2640
2019-05-21,7859
2019-05-22,4245
2019-05-23,1511
2019-05-24,0953
2019-05-25,6676
2019-05-26,9700
2019-05-27,6338
2019-05-28,3011
2019-05-29,5758
2019-05-30,4971
2019-05-31,4755
2019-06-01,7722
2019-06-02,8404
2019-06-03,4207
2019-06-04,6802
2019-06-05,6748
2019-06-06,7454
2019-06-07,2206
2019-06-08,0787
2019-06-09,1709
2019-06-10,3462
2019-06-11,3721
2019-06-12,0411
2019-06-13,2487
2019-06-14,9563
2019-06-15,1141
2019-06-16,7198
2019-06-17,7438
2019-06-18,3841
2019-06-19,0093
2019-06-20,8086
2019-06-21,5511
2019-06-22,1483
