date,result
2018-07-30,9970
2018-07-31,2135
2018-08-01,5187
2018-08-02,1247
2018-08-03,9684
2018-08-04,9067
2018-08-05,8459
2018-08-06,8875
2018-08-07,150
2018-08-08,5423
2018-08-09,4750
2018-08-10,6426
2018-08-11,9951
2018-08-12,7313
2018-08-13,6491
2018-08-14,867
2018-08-15,7196
2018-08-16,5842
2018-08-17,1757
2018-08-18,1907
2018-08-19,7096
2018-08-20,6076
2018-08-21,371
2018-08-22,6919
2018-08-23,9725
2018-08-24,1874
2018-08-25,5885
2018-08-26,7107
2018-08-27,7464
2018-08-28,7374
2018-08-29,2648
2018-08-30,3593
2018-08-31,9141
2018-09-01,1361
2018-09-02,6606
2018-09-03,190
2018-09-04,5232
2018-09-05,7973
2018-09-06,1075
2018-09-07,3770
2018-09-08,7370
2018-09-09,7870
2018-09-10,2056
2018-09-11,3912
2018-09-12,8055
2018-09-13,4112
2018-09-14,1013
2018-09-15,9211
2018-09-16,8238
2018-09-17,3239
2018-09-18,8914
2018-09-19,7054
2018-09-20,5368
2018-09-21,3092
2018-09-22,4618
2018-09-23,7985
2018-09-24,6741
2018-09-25,8791
2018-09-26,7226
2018-09-27,2085
2018-09-28,8259
2018-09-29,3021
2018-09-30,3873
2018-10-01,5594
2018-10-02,9833
2018-10-03,1245
2018-10-04,4972
2018-10-05,9273
2018-10-06,5554
2018-10-07,4176
2018-10-08,6228
2018-10-09,6773
2018-10-10,5695
2018-10-11,3374
2018-10-12,8376
2018-10-13,6641
2018-10-14,5087
2018-10-15,1343
2018-10-16,7832
2018-10-17,5572
2018-10-18,3035
2018-10-19,8253
2018-10-20,2385
2018-10-21,8977
2018-10-22,193
2018-10-23,4988
2018-10-24,1485
2018-10-25,5610
2018-10-26,7798
2018-10-27,5457
2018-10-28,3597
2018-10-29,6102
2018-10-30,5872
2018-10-31,6323
2018-11-01,8148
2018-11-02,5249
2018-11-03,977
2018-11-04,5638
2018-11-05,1747
2018-11-06,2161
2018-11-07,9898
2018-11-08,9558
2018-11-09,1309
2018-11-10,7977
2018-11-11,9571
2018-11-12,8494
2018-11-13,8405
2018-11-14,8992
2018-11-15,5271
2018-11-16,5312
2018-11-17,2058
2018-11-18,874
2018-11-19,2987
2018-11-20,2817
2018-11-21,3370
2018-11-22,4516
2018-11-23,1303
2018-11-24,7946
2018-11-25,89
2018-11-26,1160
2018-11-27,9249
2018-11-28,7558
2018-11-29,887
2018-11-30,6411
2018-12-01,9922
2018-12-02,8967
2018-12-03,2233
2018-12-04,1507
2018-12-05,3078
2018-12-06,6776
2018-12-07,9153
2018-12-08,9656
2018-12-09,1997
2018-12-10,9011
2018-12-11,1350
2018-12-12,228
2018-12-13,5357
2018-12-14,2890
2018-12-15,3507
2018-12-16,6308
2018-12-17,8875
2018-12-18,4097
2018-12-19,8421
2018-12-20,9314
2018-12-21,5959
2018-12-22,4489
2018-12-23,488
2018-12-24,4062
2018-12-25,2547
2018-12-26,8882
2018-12-27,8357
2018-12-28,5623
2018-12-29,6751
2018-12-30,5081
2018-12-31,2733
2019-01-01,1876
2019-01-02,5850
2019-01-03,8119
2019-01-04,2733
2019-01-05,7249
2019-01-06,6333
2019-01-07,4018
2019-01-08,8359
2019-01-09,9085
2019-01-10,9133
2019-01-11,7855
2019-01-12,8597
2019-01-13,6438
2019-01-14,3013
2019-01-15,8559
2019-01-16,2336
2019-01-17,1678
2019-01-18,2908
2019-01-19,2303
2019-01-20,4155
2019-01-21,9807
2019-01-22,3396
2019-01-23,4465
2019-01-24,5991
2019-01-25,8040
2019-01-26,119
2019-01-27,8889
2019-01-28,7174
2019-01-29,73
2019-01-30,2633
2019-01-31,3243
2019-02-01,4539
2019-02-02,2034
2019-02-03,6853
2019-02-04,878
2019-02-05,9464
2019-02-06,9528
2019-02-07,905
2019-02-08,5716
2019-02-09,9385
2019-02-10,4396
2019-02-11,3059
2019-02-12,8075
2019-02-13,4383
2019-02-14,6152
2019-02-15,7241
2019-02-16,8686
2019-02-17,7190
2019-02-18,6972
2019-02-19,6974
2019-02-20,8754
2019-02-21,8898
2019-02-22,3363
2019-02-23,6328
2019-02-24,611
2019-02-25,7456
2019-02-26,4357
2019-02-27,3510
2019-02-28,691
2019-03-01,8482
2019-03-02,2401
2019-03-03,3196
2019-03-04,698
2019-03-05,5142
2019-03-06,1978
2019-03-07,4113
2019-03-08,1571
2019-03-09,6517
2019-03-10,7352
2019-03-11,6185
2019-03-12,1697
2019-03-13,8007
2019-03-14,8658
2019-03-15,2771
2019-03-16,3024
2019-03-17,4802
2019-03-18,9046
2019-03-19,4701
2019-03-20,3499
2019-03-21,146
2019-03-22,6184
2019-03-23,3788
2019-03-24,8913
2019-03-25,1353
2019-03-26,3513
2019-03-27,7509
2019-03-28,8150
2019-03-29,9641
2019-03-30,233
2019-03-31,3213
2019-04-01,272
2019-04-02,3510
2019-04-03,923
2019-04-04,733
2019-04-05,1321
2019-04-06,3797
2019-04-07,4762
2019-04-08,7913
2019-04-09,6137
2019-04-10,9707
2019-04-11,1678
2019-04-12,7152
2019-04-13,3485
2019-04-14,9376
2019-04-15,5559
