date,result
1983-08-08,5299
1983-08-11,6749
1983-08-15,8357
1983-08-18,0046
1983-08-22,1018
1983-08-25,2891
1983-08-29,2762
1983-09-01,8845
1983-09-05,1039
1983-09-08,7752
1983-09-12,6029
1983-09-15,0246
1983-09-19,6511
1983-09-22,0688
1983-09-26,0815
1983-09-29,4124
1983-10-03,8940
1983-10-06,6194
1983-10-10,9998
1983-10-13,5181
1983-10-17,4005
1983-10-20,7556
1983-10-24,1481
1983-10-27,3948
1983-10-31,9962
1983-11-03,6098
1983-11-07,2490
1983-11-10,6268
1983-11-14,4327
1983-11-17,0790
1983-11-21,2451
1983-11-24,4975
1983-11-28,2436
1983-12-01,6365
1983-12-05,2057
1983-12-08,1258
1983-12-12,9133
1983-12-15,2052
1983-12-19,9103
1983-12-22,3195
1983-12-26,4743
1983-12-29,7253
1984-01-02,6605
1984-01-05,9134
1984-01-09,2439
1984-01-12,8455
1984-01-16,6480
1984-01-19,6007
1984-01-23,1901
1984-01-26,1487
1984-01-30,6059
1984-02-02,7813
1984-02-06,3669
1984-02-09,1036
1984-02-13,6503
1984-02-16,7996
1984-02-20,3217
1984-02-23,0196
1984-02-27,1372
1984-03-01,5762
1984-03-05,2221
1984-03-08,6822
1984-03-12,9863
1984-03-15,2575
1984-03-19,0740
1984-03-22,1638
1984-03-26,2578
1984-03-29,6104
1984-04-02,9329
1984-04-05,4616
1984-04-09,1821
1984-04-12,1448
1984-04-16,6821
1984-04-19,0469
1984-04-23,1765
1984-04-26,2449
1984-04-30,0408
1984-05-03,3385
1984-05-07,3838
1984-05-10,4900
1984-05-14,6107
1984-05-17,5332
1984-05-21,1884
1984-05-24,5089
1984-05-28,6404
1984-05-31,3887
1984-06-04,6333
1984-06-07,2913
1984-06-11,2736
1984-06-14,9830
1984-06-18,2877
1984-06-21,2558
1984-06-25,8969
1984-06-28,6190
1984-07-02,5957
1984-07-05,5739
1984-07-09,2028
1984-07-12,0643
1984-07-16,0060
1984-07-19,3401
1984-07-23,9206
1984-07-26,7900
1984-07-30,3599
1984-08-02,0990
1984-08-06,6302
1984-08-09,1923
1984-08-13,3589
1984-08-16,6805
1984-08-20,1412
1984-08-23,8520
1984-08-27,7142
1984-08-30,8976
1984-09-03,4859
1984-09-06,2763
1984-09-10,8943
1984-09-13,7126
1984-09-17,6285
1984-09-20,7468
1984-09-24,2250
1984-09-27,2546
1984-10-01,6665
1984-10-04,9701
1984-10-08,0959
1984-10-11,6078
1984-10-15,0949
1984-10-18,6221
1984-10-22,7580
1984-10-25,0703
1984-10-29,4070
1984-11-01,0830
1984-11-05,9101
1984-11-08,1899
1984-11-12,1795
1984-11-15,1543
1984-11-19,1985
1984-11-22,5221
1984-11-26,1449
1984-11-29,6149
1984-12-03,8435
1984-12-06,7816
1984-12-10,8163
1984-12-13,4573
1984-12-17,8124
1984-12-20,4601
1984-12-24,9191
1984-12-27,3662
1984-12-31,5472
1985-01-03,3218
1985-01-07,4896
1985-01-10,5429
1985-01-14,9404
1985-01-17,5913
1985-01-21,4122
1985-01-24,7686
1985-01-28,6352
1985-01-31,4466
1985-02-04,0087
1985-02-07,5336
1985-02-11,5461
1985-02-14,9061
1985-02-18,6693
1985-02-21,8183
1985-02-25,7884
1985-02-28,4282
1985-03-04,9162
1985-03-07,6127
1985-03-11,9277
1985-03-14,1857
1985-03-18,7978
1985-03-21,7098
1985-03-25,2691
1985-03-28,7740
1985-04-01,8791
1985-04-04,2479
1985-04-08,1141
1985-04-11,7074
1985-04-15,5715
1985-04-18,1150
1985-04-22,8308
1985-04-25,8092
1985-04-29,0364
1985-05-02,2165
1985-05-06,8048
1985-05-09,5851
1985-05-13,3118
1985-05-16,9952
1985-05-20,1523
1985-05-23,5736
1985-05-27,7469
1985-05-30,0465
1985-06-03,7744
1985-06-06,6511
1985-06-10,1702
1985-06-13,7864
1985-06-17,5341
1985-06-20,2002
1985-06-24,3516
1985-06-27,7446
1985-07-01,9360
1985-07-04,3656
1985-07-08,3911
1985-07-11,4664
1985-07-15,1359
1985-07-18,0961
1985-07-22,5083
1985-07-25,1757
1985-07-29,0482
1985-08-01,6542
1985-08-05,3213
1985-08-08,6211
1985-08-12,3166
1985-08-15,2399
1985-08-19,6071
1985-08-22,7811
1985-08-26,9587
1985-08-29,5108
1985-09-02,2288
1985-09-05,7264
1985-09-09,4715
1985-09-12,0261
1985-09-16,8208
1985-09-19,6020
1985-09-23,8855
1985-09-26,7423
1985-09-30,8478
1985-10-03,5810
1985-10-07,3592
1985-10-10,8674
1985-10-14,9049
1985-10-17,3580
1985-10-21,5143
1985-10-24,9971
1985-10-28,5339
1985-10-31,8309
1985-11-04,2231
1985-11-07,9264
1985-11-11,8786
1985-11-14,0206
1985-11-18,4568
1985-11-21,3473
1985-11-25,9047
1985-11-28,8807
1985-12-02,8233
1985-12-05,4666
1985-12-09,5694
1985-12-12,0991
1985-12-16,6475
1985-12-19,5869
1985-12-23,4418
1985-12-26,8413
1985-12-30,9055
1986-01-02,4224
1986-01-06,2409
1986-01-09,2605
1986-01-13,6516
1986-01-16,5752
1986-01-20,3379
1986-01-23,0614
1986-01-27,1923
1986-01-30,7330
1986-02-03,8495
1986-02-06,6476
1986-02-10,8981
1986-02-13,9320
1986-02-17,4886
1986-02-20,0598
1986-02-24,4251
1986-02-27,0318
1986-03-03,4786
1986-03-06,0524
1986-03-10,6702
1986-03-13,2407
1986-03-17,4769
1986-03-20,1072
1986-03-24,3068
1986-03-27,5011
1986-03-31,3902
1986-04-03,2190
1986-04-07,1155
1986-04-10,0304
1986-04-14,1640
1986-04-17,2369
1986-04-21,8881
1986-04-24,3933
1986-04-28,8750
1986-05-01,5441
1986-05-05,6910
1986-05-08,6448
1986-05-12,5435
1986-05-15,5601
1986-05-19,3269
1986-05-22,8865
1986-05-26,9085
1986-05-29,4325
1986-06-02,9892
1986-06-05,7088
1986-06-09,3356
1986-06-12,6877
1986-06-16,6081
1986-06-19,2380
1986-06-23,5043
1986-06-26,5412
1986-06-30,3531
1986-07-03,8191
1986-07-07,7473
1986-07-10,0564
1986-07-14,9866
1986-07-17,8363
1986-07-21,2826
1986-07-24,5552
1986-07-28,1829
1986-07-31,2336
1986-08-04,0904
1986-08-07,5859
1986-08-11,0981
1986-08-14,6280
1986-08-18,3543
1986-08-21,3930
1986-08-25,7125
1986-08-28,9083
1986-09-01,2931
1986-09-04,9089
1986-09-08,5951
1986-09-11,1215
1986-09-15,3449
1986-09-18,5752
1986-09-22,2817
1986-09-25,6326
1986-09-29,9550
1986-10-02,8548
1986-10-06,1247
1986-10-09,3842
1986-10-13,0126
1986-10-16,3444
1986-10-20,8459
1986-10-23,9523
1986-10-27,2672
1986-10-30,6646
1986-11-03,4933
1986-11-06,3205
1986-11-10,4900
1986-11-13,3912
1986-11-17,1282
1986-11-20,6012
1986-11-24,1636
1986-11-27,8287
1986-12-01,3117
1986-12-04,1454
1986-12-08,4948
1986-12-11,8997
1986-12-15,0010
1986-12-18,2047
1986-12-22,7583
1986-12-25,2108
1986-12-29,5162
1987-01-01,7614
1987-01-05,4878
1987-01-08,5310
1987-01-12,0246
1987-01-15,2300
1987-01-19,4662
1987-01-22,2914
1987-01-26,0201
1987-01-29,6334
1987-02-02,1928
1987-02-05,7676
1987-02-09,4670
1987-02-12,3560
1987-02-16,2585
1987-02-19,0109
1987-02-23,8875
1987-02-26,9911
1987-03-02,8700
1987-03-05,0738
1987-03-09,6751
1987-03-12,3369
1987-03-16,9527
1987-03-19,7541
1987-03-23,2107
1987-03-26,0526
1987-03-30,7752
1987-04-02,0937
1987-04-06,5163
1987-04-09,4058
1987-04-13,6982
1987-04-16,2992
1987-04-20,4500
1987-04-23,4072
1987-04-27,0526
1987-04-30,7110
1987-05-04,4092
1987-05-07,7581
1987-05-11,8324
1987-05-14,4427
1987-05-18,3438
1987-05-21,1659
1987-05-25,9201
1987-05-28,4346
1987-06-01,6316
1987-06-04,6254
1987-06-08,0772
1987-06-11,7661
1987-06-15,4230
1987-06-18,1028
1987-06-22,4183
1987-06-25,4563
1987-06-29,6335
1987-07-02,3343
1987-07-06,2810
1987-07-09,0305
1987-07-13,2404
1987-07-16,8929
1987-07-20,2168
1987-07-23,7488
1987-07-27,2194
1987-07-30,7272
1987-08-03,5662
1987-08-06,1036
1987-08-10,4013
1987-08-13,4251
1987-08-17,1919
1987-08-20,0358
1987-08-24,6886
1987-08-27,5567
1987-08-31,1566
1987-09-03,5626
1987-09-07,5361
1987-09-10,6475
1987-09-14,3105
1987-09-17,9116
1987-09-21,0371
1987-09-24,5098
1987-09-28,9743
1987-10-01,7515
1987-10-05,2841
1987-10-08,6492
1987-10-12,4483
1987-10-15,5310
1987-10-19,6183
1987-10-22,5864
1987-10-26,3983
1987-10-29,9723
1987-11-02,2967
1987-11-05,1487
1987-11-09,3594
1987-11-12,8511
1987-11-16,7873
1987-11-19,6837
1987-11-23,8991
1987-11-26,9075
1987-11-30,6789
1987-12-03,0825
1987-12-07,4611
1987-12-10,0427
1987-12-14,7223
1987-12-17,3453
1987-12-21,8824
1987-12-24,2846
1987-12-28,7947
1987-12-31,0762
1988-01-04,6461
1988-01-07,6651
1988-01-11,5427
1988-01-14,8578
1988-01-18,6577
1988-01-21,7947
1988-01-25,0440
1988-01-28,1558
1988-02-01,7861
1988-02-04,2923
1988-02-08,4858
1988-02-11,9386
1988-02-15,2270
1988-02-18,9179
1988-02-22,6412
1988-02-25,9609
1988-02-29,7737
1988-03-03,3997
1988-03-07,1348
1988-03-10,9157
1988-03-14,3106
1988-03-17,1242
1988-03-21,2289
1988-03-24,3592
1988-03-28,1581
1988-03-31,6067
1988-04-04,5151
1988-04-07,5139
1988-04-11,0914
1988-04-14,9710
1988-04-18,5112
1988-04-21,3955
1988-04-25,3536
1988-04-28,7350
1988-05-02,5672
1988-05-05,2500
1988-05-09,8483
1988-05-12,9700
1988-05-16,4592
1988-05-19,6035
1988-05-23,6699
1988-05-26,6844
1988-05-30,1528
1988-06-02,7604
1988-06-06,3113
1988-06-09,0961
1988-06-13,6487
1988-06-16,4313
1988-06-20,7580
1988-06-23,0896
1988-06-27,8388
1988-06-30,5395
1988-07-04,5743
1988-07-07,1223
1988-07-11,6507
1988-07-14,0592
1988-07-18,4020
1988-07-21,8321
1988-07-25,7201
1988-07-28,6173
1988-08-01,2785
1988-08-04,4575
1988-08-08,8049
1988-08-11,6919
1988-08-15,0675
1988-08-18,7615
1988-08-22,3162
1988-08-25,5292
1988-08-29,4421
1988-09-01,6418
1988-09-05,7157
1988-09-08,7083
1988-09-12,5535
1988-09-15,1232
1988-09-19,7653
1988-09-22,0486
1988-09-26,7120
1988-09-29,5801
1988-10-03,1226
1988-10-06,8617
1988-10-10,4006
1988-10-13,7944
1988-10-17,3183
1988-10-20,1587
1988-10-24,9694
1988-10-27,8974
1988-10-31,7569
1988-11-03,9054
1988-11-07,7502
1988-11-10,3068
1988-11-14,3584
1988-11-17,5140
1988-11-21,4356
1988-11-24,8529
1988-11-28,7585
1988-12-01,8707
1988-12-05,3507
1988-12-08,5752
1988-12-12,4152
1988-12-15,8636
1988-12-19,6343
1988-12-22,0449
1988-12-26,9262
1988-12-29,9817
1989-01-02,2315
1989-01-05,0471
1989-01-09,0852
1989-01-12,8817
1989-01-16,5508
1989-01-19,0063
1989-01-23,4011
1989-01-26,7523
1989-01-30,2944
1989-02-02,8149
1989-02-06,4533
1989-02-09,4571
1989-02-13,0284
1989-02-16,9067
1989-02-20,8820
1989-02-23,6206
1989-02-27,4824
1989-03-02,5526
1989-03-06,0431
1989-03-09,5785
1989-03-13,1327
1989-03-16,7965
1989-03-20,9849
1989-03-23,5964
1989-03-27,3837
1989-03-30,5172
1989-04-03,1299
1989-04-06,7124
1989-04-10,7876
1989-04-13,3572
1989-04-17,9818
1989-04-20,0987
1989-04-24,5633
1989-04-27,2050
1989-05-01,0898
1989-05-04,1530
1989-05-08,9388
